datetime,strategy,layer,optimizer,seed,n_trials,n_variants,n_signals,pair,main_tf,sub_tf,bt_per_sec,runtime_s,trades,win_rate_pct,total_pips,expectancy_pips,max_dd_pct,profit_factor,sharpe,return_pct,quality,best_variant_id,best_variant_family,run_file
2026-04-21 18:30:49,complex01,golden,random,42,500,66,19842,EUR_USD,H1,M1,15746.0,0.14,33,18.182,337.0,10.212,17.821,5.0285,1.8758,429.79,0.7135,3,ema_cross,golden_20260421_183049.npz
2026-04-21 18:30:58,baseline_v2,trade_log_parity,random,42,5,1,134,EUR_USD,H1,M1,2251.0,0.08,127,41.732,2101.6,16.548,17.841,1.5675,2.1624,4236.7,0.585,0,ema_cross,trade_log_parity_20260421_183058.npz
2026-04-21 20:09:05,complex01,golden,random,42,500,66,19842,EUR_USD,H1,M1,13802.0,0.14,33,18.182,337.0,10.212,17.821,5.0285,1.8758,429.79,0.7135,3,ema_cross,golden_20260421_200905.npz
2026-04-21 20:09:14,baseline_v2,trade_log_parity,random,42,5,1,134,EUR_USD,H1,M1,2046.0,0.09,127,41.732,2101.6,16.548,17.841,1.5675,2.1624,4236.7,0.585,0,ema_cross,trade_log_parity_20260421_200914.npz
2026-04-21 21:15:42,complexity_L10_EUR_USD_H1,complexity_L10_EUR_USD_H1,random,42,500,95,2651,EUR_USD,H1,M1,12054.0,0.36,30,43.333,2338.3,77.943,16.865,2.8369,4.5067,2922.85,0.5101,35,ema_cross,complexity_L10_EUR_USD_H1_20260421_211542.npz
2026-04-21 21:29:21,complexity_L10_EUR_USD_M15,complexity_L10_EUR_USD_M15,random,42,500,127,13534,EUR_USD,M15,M1,9006.0,0.4,105,35.238,3227.9,30.742,17.653,2.0638,5.9557,7336.08,1.1007,20,ema_cross,complexity_L10_EUR_USD_M15_20260421_212921.npz
2026-04-22 10:23:41,complex01,golden,random,42,500,66,19842,EUR_USD,H1,M1,16583.0,0.16,33,18.182,337.0,10.212,17.821,5.0285,1.8758,429.79,0.7135,3,ema_cross,golden_20260422_102341.npz
2026-04-22 10:23:49,baseline_v2,trade_log_parity,random,42,5,1,134,EUR_USD,H1,M1,2113.0,0.09,127,41.732,2101.6,16.548,17.841,1.5675,2.1624,4236.7,0.585,0,ema_cross,trade_log_parity_20260422_102349.npz
2026-04-22 10:27:42,complex01,golden,random,42,500,66,19842,EUR_USD,H1,M1,14024.0,0.14,33,18.182,337.0,10.212,17.821,5.0285,1.8758,429.79,0.7135,3,ema_cross,golden_20260422_102742.npz
2026-04-22 10:27:50,baseline_v2,trade_log_parity,random,42,5,1,134,EUR_USD,H1,M1,2212.0,0.09,127,41.732,2101.6,16.548,17.841,1.5675,2.1624,4236.7,0.585,0,ema_cross,trade_log_parity_20260422_102750.npz
